batsman,batsman_runs
A Ashish Reddy,280
A Chandila,4
A Chopra,53
A Choudhary,25
A Flintoff,62
A Kumble,35
A Mishra,340
A Mithun,34
A Mukund,19
A Nehra,41
A Singh,2
A Symonds,974
A Uniyal,4
A Zampa,5
AA Bilakhia,69
AA Chavan,12
AA Jhunjhunwala,217
AA Noffke,9
AB Agarkar,179
AB Barath,42
AB Dinda,26
AB McDonald,123
AB de Villiers,3486
AC Blizzard,120
AC Gilchrist,2069
AC Thomas,20
AC Voges,181
AD Mascarenhas,79
AD Mathews,724
AD Nath,20
AD Russell,574
AF Milne,7
AG Murtaza,10
AG Paunikar,49
AJ Finch,1604
AJ Tye,53
AL Menaria,401
AM Nayar,672
AM Rahane,3057
AN Ahmed,36
AN Ghosh,7
AP Dole,34
AP Majumdar,87
AP Tare,339
AR Bawne,12
AR Patel,606
AS Rajpoot,6
AS Raut,194
AS Yadav,49
AT Rayudu,2416
AUK Pathan,39
Abdur Razzak,0
Anirudh Singh,63
Ankit Sharma,87
Ankit Soni,7
Anureet Singh,33
Azhar Mahmood,388
B Akhil,76
B Chipli,280
B Kumar,158
B Laughlin,4
B Lee,124
B Sumanth,35
BA Bhatt,6
BA Stokes,316
BAW Mendis,3
BB McCullum,2755
BB Samantray,125
BB Sran,4
BCJ Cutting,124
BE Hendricks,1
BJ Haddin,18
BJ Hodge,1400
BJ Rohrer,193
BMAJ Mendis,23
BR Dunk,40
Basil Thampi,28
Bipul Sharma,187
C Madan,15
C Munro,30
C Nanda,0
C de Grandhomme,126
CA Ingram,21
CA Lynn,384
CA Pujara,390
CH Gayle,3651
CH Morris,439
CJ Anderson,521
CJ Ferguson,98
CJ Jordan,3
CJ McKay,8
CK Kapugedera,16
CK Langeveldt,8
CL White,971
CM Gautam,169
CR Brathwaite,95
CR Woakes,46
CRD Fernando,4
D Kalyankrishna,3
D Salunkhe,33
D Wiese,127
D du Preez,10
DA Miller,1563
DA Warner,4014
DAJ Bracewell,12
DB Das,304
DB Ravi Teja,375
DE Bollinger,21
DH Yagnik,170
DJ Bravo,1262
DJ Harris,111
DJ Hooda,373
DJ Hussey,1322
DJ Jacobs,92
DJ Muthuswami,1
DJ Thornely,39
DJG Sammy,295
DL Chahar,14
DL Vettori,121
DM Bravo,6
DNT Zoysa,11
DP Nannes,4
DP Vijaykumar,1
DPMD Jayawardene,1808
DR Martyn,19
DR Smith,2385
DS Kulkarni,90
DS Lehmann,18
DT Christian,420
DT Patil,13
DW Steyn,166
EJG Morgan,854
ER Dwivedi,24
F Behardien,14
F du Plessis,1295
FH Edwards,4
FY Fazal,183
G Gambhir,4132
GB Hogg,22
GC Smith,739
GD McGrath,4
GH Vihari,280
GJ Bailey,663
GJ Maxwell,1229
GR Napier,15
Gurkeerat Singh,342
H Das,2
HH Gibbs,886
HH Pandya,406
HM Amla,577
HV Patel,47
Harbhajan Singh,799
Harmeet Singh,18
Harpreet Singh,20
I Malhotra,7
I Sharma,45
IC Pandey,0
IK Pathan,1150
IR Jaggi,76
Imran Tahir,18
Iqbal Abdulla,88
Ishan Kishan,319
J Arunkumar,23
J Botha,409
J Suchith,48
J Syed Mohammad,29
J Theron,10
J Yadav,6
JA Morkel,975
JC Buttler,528
JD Ryder,604
JD Unadkat,5
JDP Oram,106
JDS Neesham,42
JE Taylor,3
JEC Franklin,327
JH Kallis,2427
JJ Bumrah,25
JJ Roy,59
JJ van der Wath,18
JM Kemp,26
JO Holder,38
JP Duminy,1993
JP Faulkner,527
JR Hopes,417
Jaskaran Singh,8
Joginder Sharma,36
K Goel,218
K Rabada,55
K Upadhyay,12
KA Pollard,2354
KAJ Roach,10
KB Arun Karthik,51
KC Cariappa,15
KC Sangakkara,1687
KD Karthik,2903
KH Pandya,480
KJ Abbott,13
KK Cooper,116
KK Nair,1158
KL Rahul,725
KM Jadhav,893
KMDN Kulasekara,5
KP Appanna,2
KP Pietersen,1001
KS Williamson,411
KV Sharma,317
KW Richardson,36
Kamran Akmal,128
Kamran Khan,3
Karanveer Singh,12
Kuldeep Yadav,20
L Ablish,0
L Balaji,36
L Ronchi,34
LA Carseldine,81
LA Pomersbach,302
LH Ferguson,1
LJ Wright,106
LMP Simmons,1079
LPC Silva,40
LR Shukla,405
LRPL Taylor,1017
M Ashwin,0
M Kaif,259
M Kartik,113
M Klinger,73
M Manhas,514
M Morkel,126
M Muralitharan,20
M Ntini,11
M Rawat,55
M Vijay,2511
M Vohra,957
M de Lange,1
MA Agarwal,814
MA Khote,24
MA Starc,96
MC Henriques,969
MC Juneja,125
MD Mishra,237
MDKJ Perera,14
MEK Hussey,1977
MF Maharoof,177
MG Johnson,151
MJ Clarke,98
MJ Guptill,189
MJ Lumb,278
MJ McClenaghan,63
MK Pandey,2223
MK Tiwary,1648
ML Hayden,1107
MM Patel,39
MM Sharma,112
MN Samuels,161
MN van Wyk,167
MP Stoinis,163
MR Marsh,225
MS Bisla,798
MS Dhoni,3560
MS Gony,99
MS Wade,22
MV Boucher,394
Mandeep Singh,1112
Mashrafe Mortaza,2
Misbah-ul-Haq,117
Mohammad Ashraful,2
Mohammad Asif,3
Mohammad Hafeez,64
Mohammad Nabi,2
Mohammed Shami,46
N Rana,437
N Saini,140
ND Doshi,0
NJ Maddinson,20
NJ Rimmington,1
NL McCullum,26
NLTC Perera,424
NM Coulter-Nile,52
NS Naik,23
NV Ojha,1553
Niraj Patel,121
OA Shah,506
P Awana,5
P Dogra,127
P Kumar,340
P Negi,353
P Parameswaran,1
P Sahu,19
PA Patel,2322
PA Reddy,164
PC Valthaty,505
PD Collingwood,203
PJ Cummins,77
PJ Sangwan,24
PM Sarvesh Kumar,1
PP Chawla,515
PP Ojha,16
PR Shah,92
PSP Handscomb,6
PV Tambe,18
Pankaj Singh,7
Parvez Rasool,17
Q de Kock,726
R Ashwin,231
R Bhatia,342
R Bishnoi,19
R Dhawan,153
R Dravid,2174
R McLaren,159
R Ninan,3
R Rampaul,51
R Sathish,270
R Sharma,66
R Shukla,19
R Tewatia,35
R Vinay Kumar,304
RA Jadeja,1732
RA Tripathi,391
RD Chahar,3
RE Levi,83
RE van der Merwe,159
RG More,2
RG Sharma,4207
RJ Harris,117
RJ Peterson,32
RJ Quiney,103
RN ten Doeschate,326
RP Singh,52
RR Bhatkal,0
RR Pant,564
RR Powar,67
RR Raje,20
RR Rossouw,53
RR Sarwan,73
RS Bopara,531
RS Gavaskar,2
RS Sodhi,4
RT Ponting,91
RV Gomez,50
RV Uthappa,3778
Rashid Khan,11
S Anirudha,136
S Aravind,59
S Badree,13
S Badrinath,1441
S Chanderpaul,25
S Dhawan,3561
S Gopal,14
S Kaul,9
S Kaushik,0
S Ladda,0
S Nadeem,26
S Narwal,37
S Rana,91
S Randiv,2
S Sohal,368
S Sreesanth,34
S Sriram,31
S Tyagi,3
S Vidyut,145
SA Abbott,15
SA Asnodkar,423
SA Yadav,608
SB Bangar,49
SB Jakati,28
SB Joshi,6
SB Styris,131
SB Wagh,2
SC Ganguly,1349
SD Chitnis,99
SE Bond,1
SE Marsh,2489
SJ Srivastava,5
SK Raina,4548
SK Trivedi,42
SK Warne,198
SL Malinga,88
SM Harwood,9
SM Katich,241
SM Pollock,147
SMSM Senanayake,10
SN Khan,177
SN Thakur,7
SP Fleming,196
SP Goswami,241
SP Jackson,38
SP Narine,271
SPD Smith,1713
SR Tendulkar,2334
SR Watson,2628
SS Iyer,807
SS Shaikh,6
SS Tiwary,1276
ST Jayasuriya,768
STR Binny,766
SV Samson,1426
SW Billings,226
SW Tait,23
Sachin Baby,137
Salman Butt,193
Sandeep Sharma,26
Shahid Afridi,81
Shakib Al Hasan,500
Shivam Sharma,5
Shoaib Ahmed,1
Shoaib Akhtar,2
Shoaib Malik,52
Sohail Tanvir,36
Sunny Gupta,0
Sunny Singh,43
Swapnil Singh,12
T Henderson,11
T Kohli,11
T Taibu,31
T Thushara,12
TA Boult,5
TD Paine,10
TG Southee,54
TL Suman,676
TM Dilshan,1153
TM Head,205
TM Srivastava,8
TR Birt,75
TS Mills,8
U Kaul,0
UA Birla,7
UBT Chand,300
UT Khawaja,127
UT Yadav,94
Umar Gul,39
V Kohli,4423
V Pratap Singh,0
V Sehwag,2728
V Shankar,101
VH Zol,29
VR Aaron,46
VRV Singh,4
VS Malik,7
VS Yeligati,2
VVS Laxman,282
VY Mahesh,15
Vishnu Vinod,19
W Jaffer,130
WA Mota,56
WD Parnell,63
WP Saha,1557
WPUJC Vaas,81
Washington Sundar,9
X Thalaivan Sargunam,10
Y Gnaneswara Rao,19
Y Nagar,285
Y Venugopal Rao,985
YA Abdulla,0
YK Pathan,2922
YS Chahal,15
YV Takawale,192
Yashpal Singh,47
Younis Khan,3
Yuvraj Singh,2591
Z Khan,117
